year_harvest	NUMD	IRR	ETP_1	ETP_2	ETP_3	ETP_4	ETP_5	ETP_6	ETP_7	ETP_8	ETP_9	PR_1	PR_2	PR_3	PR_4	PR_5	PR_6	PR_7	PR_8	PR_9	RV_1	RV_2	RV_3	RV_4	RV_5	RV_6	RV_7	RV_8	RV_9	SeqPR_1	SeqPR_2	SeqPR_3	SeqPR_4	SeqPR_5	SeqPR_6	SeqPR_7	SeqPR_8	SeqPR_9	Tn_1	Tn_2	Tn_3	Tn_4	Tn_5	Tn_6	Tn_7	Tn_8	Tn_9	Tx_1	Tx_2	Tx_3	Tx_4	Tx_5	Tx_6	Tx_7	Tx_8	Tx_9
3	1	3	0.225639	0.573471	1.41632	1.55965	2.5164	3.24141	3.42725	2.8699	2.10262	3.48751	3.15531	1.2774	3.8814	1.79057	2.33787	4.04152	2.38588	0.64252	32.9697	73.4175	166.09	137.571	204.488	225.688	233.286	206.122	156.286	0.627279	0.427407	0.137097	0.567391	0.373773	0.510145	0.38885	0.280505	0.13587	-0.388616	2.69202	1.16167	7.85662	7.57757	12.7788	12.8329	12.2605	13.7639	3.87934	10.0427	12.1809	16.3347	16.2052	21.4233	22.549	22.4748	24.6548
5	1	3	0.201415	0.349833	0.92007	1.32144	2.47706	2.42592	3.32625	2.32699	1.29623	2.16936	3.63244	4.63769	3.69405	2.26305	6.25565	1.98953	7.40782	2.21285	52.4708	75.2086	102.684	125.133	199.03	180.159	233.137	175.962	121.204	0.468794	0.499612	0.601683	0.401449	0.360449	0.692391	0.422861	0.632188	0.358696	-7.75187	-5.70301	1.60362	5.56457	7.40275	12.5736	14.8594	12.0416	10.6806	-2.12281	0.232842	9.23221	13.4903	16.2551	20.0708	23.581	20.3687	18.5353
6	1	3	0.235087	0.444469	0.510438	1.73645	2.41834	3.51096	4.41394	3.01169	1.94824	1.24272	1.51259	5.31356	2.84759	2.15236	2.29069	1.00038	2.24094	2.3276	50.7146	72.1086	67.1326	148.749	187.654	231.976	276.754	203.253	153.33	0.196704	0.30922	0.553647	0.466667	0.441445	0.428623	0.229313	0.470196	0.334783	-3.06212	0.103191	1.75535	5.66051	10.0158	12.9838	14.8936	12.3592	11.5632	0.187899	6.83421	7.261	14.1535	18.9244	22.2869	26.1986	22.9112	20.6706
11	1	3	0.252084	0.362456	0.677605	1.49101	2.27168	2.17848	3.81185	2.47566	1.51988	2.50806	3.14997	3.22109	4.13351	3.04192	5.21562	1.56102	2.95182	2.57952	41.6582	58.1577	81.2675	141.955	172.531	165.753	243.177	177.392	137.445	0.419705	0.647127	0.542777	0.603261	0.478261	0.666304	0.355891	0.561711	0.455435	-0.492281	-3.32044	2.42587	4.26394	9.64983	10.3984	14.4242	12.9752	11.4282	4.98872	3.17947	9.17918	12.2288	18.0942	18.2432	23.9483	21.9937	20.1164
12	1	3	0.239756	0.351434	0.675418	1.28462	2.41649	3.05499	3.37062	2.78999	2.14487	3.3094	8.60491	4.30949	6.13125	2.47777	3.59897	1.7394	2.62168	1.94872	33.0344	41.8396	89.5439	123.969	189.044	213.357	230.997	196.227	169.09	0.466339	0.853649	0.551543	0.732971	0.393057	0.586957	0.355189	0.536816	0.18913	-0.559206	-0.330676	-1.22625	2.52881	8.17832	13.8187	13.2722	14.0897	10.2743	5.10462	4.47656	5.44274	10.0366	16.5455	22.0381	22.1615	23.1214	21.0203
14	1	3	0.24349	0.515084	1.1015	1.39864	1.92491	2.74344	3.43098	2.28078	1.52679	1.73511	4.08739	2.04978	2.89949	1.83309	4.18528	1.88656	2.03476	1.15782	43.799	51.1025	119.009	127.41	158.859	204.286	238.218	173.516	151.513	0.376928	0.366567	0.45582	0.42029	0.508415	0.543841	0.379383	0.449158	0.22029	-1.15981	2.3364	2.3402	3.6911	7.75873	10.2557	12.881	12.2642	6.28213	4.3837	7.85183	11.5537	11.2539	15.8067	18.7339	22.0224	21.1402	16.1604
15	1	3	0.249325	0.461872	1.25431	1.44867	2.43731	3.08651	2.96107	2.83328	2.04161	2.29859	2.70551	0.350818	3.03004	2.61382	2.60411	4.17691	2.92557	2.95169	43.5336	73.6124	139.232	134.35	183.84	220.485	209.084	198.397	165.065	0.392707	0.39868	0.0925666	0.446377	0.586606	0.357609	0.404628	0.518233	0.221377	-2.07458	-2.02073	-0.894253	1.53437	10.0418	12.5382	14.0017	15.1743	10.9478	1.85473	3.3323	9.20995	10.446	18.4542	21.1539	22.4891	24.6156	21.256
16	1	3	0.363523	0.527925	0.853216	1.96126	2.2286	2.98099	3.52163	3.37563	1.55377	2.28215	3.72843	2.18917	1.162	3.42553	3.75096	2.14403	2.22475	6.00669	40.9813	56.8325	92.1274	180.978	181.377	216.797	241.731	221.266	130.392	0.396213	0.600155	0.464937	0.276449	0.512272	0.478261	0.373422	0.346073	0.641304	1.76736	1.53401	3.99292	3.86897	7.79779	10.8182	12.8838	13.8265	10.0171	7.49851	6.56576	10.8001	13.8417	16.1293	19.4324	22.4468	23.4416	18.1197
18	1	3	0.250981	0.504101	1.28165	2.19593	2.99226	4.81242	3.53876	2.98987	1.59868	1.75364	3.34243	0.870581	1.07563	1.34564	0.22749	2.23513	2.78602	7.26002	46.2754	72.5864	150.016	199.747	227.858	301.115	229.198	214.163	135.809	0.396914	0.341079	0.156381	0.399638	0.236325	0.0876812	0.420757	0.313114	0.470652	-1.75961	0.418721	-0.481201	3.26118	9.22915	13.7611	15.4052	12.004	9.57583	3.23526	6.27952	9.44537	13.3597	19.0948	25.7285	25.1605	23.269	17.8771
19	1	3	0.342205	0.503898	1.04609	1.22281	1.77107	2.50931	3.2891	2.47867	1.84033	4.73704	7.9022	3.02621	3.60741	4.80404	4.5039	4.85136	4.34467	0.489182	32.2554	48.5507	99.989	113.604	152.107	186.903	224.35	191.721	165.696	0.553997	0.774457	0.485624	0.564493	0.70547	0.561232	0.524895	0.520337	0.0822464	0.309693	3.0114	3.94898	3.13766	8.29161	11.0762	13.4173	11.9935	8.12767	4.65111	8.11748	11.8789	11.2255	16.1315	18.8833	21.7655	20.2597	17.8171
21	1	3	0.20291	0.414115	0.73452	1.52201	2.56362	3.1867	3.77548	2.34744	1.99484	5.52946	4.26022	6.14135	2.67688	3.21628	3.6628	1.56721	3.82172	1.26105	37.8965	50.4666	71.1754	143.985	188.555	222.415	251.795	179.24	162.877	0.684081	0.611413	0.834502	0.471014	0.334151	0.577899	0.21669	0.604839	0.218116	-3.69876	1.02801	3.27707	3.18341	8.34362	13.028	13.3639	11.6914	9.88244	1.14309	5.76993	9.4166	11.1625	17.5815	21.092	23.5955	20.6697	19.6215
24	1	3	0.292323	0.437456	0.965726	2.39567	2.54896	2.52645	3.46394	2.24187	1.66308	3.82925	0.550338	3.48989	0.70703	2.37441	5.2834	2.57246	4.22586	3.90926	36.385	74.4485	111.139	206.789	209.897	197.722	235.258	180.931	148.447	0.521739	0.14441	0.419004	0.143841	0.407784	0.532246	0.362553	0.467041	0.158696	1.17145	0.301569	0.809443	2.6705	8.58777	13.2936	15.8354	13.2967	12.0701	6.23325	6.58002	8.84476	13.6812	18.0351	21.4274	24.98	21.5281	21.5368
27	1	3	0.188902	0.447687	0.853265	2.15793	1.69123	2.8755	3.85251	3.17076	2.50477	3.7825	3.32219	3.68116	3.29287	6.53759	4.5788	3.26912	1.8533	0.560331	37.1494	68.6741	90.8772	171.893	142.573	211.64	251.356	219.468	193.641	0.689691	0.424689	0.624825	0.498188	0.618864	0.606522	0.317672	0.234572	0.128986	-6.66146	-0.728446	0.739486	4.57991	8.46996	10.8591	14.9551	12.0232	10.4336	-1.62228	5.96697	6.67574	13.7165	16.0535	19.8706	25.0659	23.6384	23.2454
29	1	3	0.245478	0.327431	0.940242	2.18278	2.30268	2.55016	3.26129	2.95513	2.09605	2.45593	3.53718	2.59784	2.23396	4.43534	7.20545	3.47261	3.22044	2.96294	36.0222	50.1741	102.727	176.933	182.208	182.433	216.848	208.197	159.741	0.347826	0.654891	0.43864	0.419203	0.682679	0.681884	0.492286	0.237377	0.305435	-5.74626	0.0829821	-0.179713	4.96639	6.33672	11.2569	14.7313	13.2388	12.5304	-1.44944	4.42589	7.34484	15.258	14.7885	18.8496	23.4144	23.6037	22.8367
31	1	3	0.300031	0.520047	1.33239	1.09744	3.57338	3.76819	3.97879	3.31808	1.84362	0.826686	3.04225	2.69671	6.79996	2.18138	0.798838	1.64264	1.34936	1.3792	59.9379	68.0938	121.976	105.656	256.558	251.343	245.654	222.527	148.963	0.15568	0.470497	0.346774	0.780435	0.359748	0.292029	0.318022	0.236676	0.239493	-0.989051	-0.327799	3.1921	4.28886	10.2044	11.3744	15.0719	13.3886	10.1321	4.57843	7.05245	13.2894	11.22	21.0265	21.9575	25.7109	25.3907	20.6357
38	1	3	0.370545	0.469582	1.11729	2.01616	2.44521	3.92416	3.51578	2.51961	1.89532	1.96749	3.25419	1.26181	1.901	4.6043	2.35989	4.65068	2.80375	1.05501	40.2633	68.5384	132.772	176.457	181.75	259.552	234.323	180.187	158.884	0.517532	0.634558	0.297335	0.298551	0.618864	0.336957	0.395863	0.603086	0.357609	1.20201	-2.21327	-0.323303	4.27562	8.58192	12.6289	12.8165	12.4623	6.32934	6.4037	3.62051	9.21388	14.5652	16.5877	21.9782	22.1897	22.0589	17.3461
43	1	3	0.338176	0.739264	0.865267	1.38624	2.64253	3.54562	3.37969	2.95744	1.41557	4.30428	1.93474	9.27716	5.15263	3.51003	3.58298	3.53746	2.79543	3.31362	37.155	82.0506	84.1369	130.277	191.804	244.175	225.39	199.144	126.631	0.562062	0.453804	0.791024	0.68442	0.580645	0.49058	0.434081	0.554348	0.710145	1.39241	0.0949001	5.37852	4.13813	10.8034	10.938	14.1595	14.2151	7.85672	6.32773	7.63582	12.1918	10.9201	18.9876	20.7121	23.8717	24.5414	16.2907
46	1	3	0.266524	0.575999	1.14777	1.69526	2.94699	3.80313	3.47901	2.60807	2.05321	5.52926	1.36197	2.71063	1.61572	2.20672	1.70761	2.18737	6.80353	1.35251	39.8615	93.1877	127.154	151.119	224.74	251.507	227.22	182.448	162.635	0.733871	0.272864	0.364306	0.50942	0.504909	0.278261	0.477209	0.632889	0.260507	-0.850593	-1.64754	0.634774	4.82391	7.79062	12.4308	13.8931	14.123	10.3765	4.1609	6.56604	9.64891	13.5854	17.49	22.1757	23.7449	23.5145	20.7601
