year_harvest	NUMD	ETP_1	ETP_10	ETP_11	ETP_12	ETP_2	ETP_3	ETP_4	ETP_5	ETP_6	ETP_9	PR_1	PR_10	PR_11	PR_12	PR_2	PR_3	PR_4	PR_5	PR_6	PR_9	RV_1	RV_10	RV_11	RV_12	RV_2	RV_3	RV_4	RV_5	RV_6	RV_9	SeqPR_1	SeqPR_10	SeqPR_11	SeqPR_12	SeqPR_2	SeqPR_3	SeqPR_4	SeqPR_5	SeqPR_6	SeqPR_9	Tn_1	Tn_10	Tn_11	Tn_12	Tn_2	Tn_3	Tn_4	Tn_5	Tn_6	Tn_9	Tn17.2_1	Tn17.2_10	Tn17.2_11	Tn17.2_12	Tn17.2_2	Tn17.2_3	Tn17.2_4	Tn17.2_5	Tn17.2_6	Tn17.2_9	Tx_1	Tx_10	Tx_11	Tx_12	Tx_2	Tx_3	Tx_4	Tx_5	Tx_6	Tx_9	Tx010_1	Tx010_10	Tx010_11	Tx010_12	Tx010_2	Tx010_3	Tx010_4	Tx010_5	Tx010_6	Tx010_9	Tx34_1	Tx34_10	Tx34_11	Tx34_12	Tx34_2	Tx34_3	Tx34_4	Tx34_5	Tx34_6	Tx34_9
1	1	0.480319	0.70725	0.192662	0.36447	0.650041	0.952222	1.91736	2.72082	3.49425	1.68584	4.05646	4.50033	2.26941	4.3672	0.0364394	4.80483	4.92613	1.31709	2.59149	4.38653	51.0494	87.6341	35.9018	31.5297	103.124	100.325	156.393	212.716	239.995	143.579	0.341515	0.519285	0.434058	0.520687	0.0015528	0.317672	0.453623	0.292777	0.43442	0.332971	-1.33464	5.61308	1.83447	1.4128	-1.56746	4.6396	5.51576	9.00653	12.9011	12.508	0	0	0	0	0	0	0	0	0	0	4.45812	12.4555	5.47198	5.16169	6.99729	12.3422	14.066	18.5257	22.3311	21.1299	23.7283	11.6739	28.2826	20.5978	18.913	7.73913	5.69565	1.6087	0.076087	0.0108696	0	0	0	0	0	0	0	0	0	0
2	1	0.291583	0.84831	0.393934	0.327304	0.577265	0.981122	2.12405	3.0964	3.57063	1.7556	3.49145	3.44307	3.93899	5.90281	4.47751	4.33698	0.96453	1.82152	2.81858	0.933639	43.6871	100.624	50.9739	33.3228	72.6408	108.588	180.077	222.952	234.407	150.517	0.4169	0.299088	0.412681	0.576087	0.476012	0.47756	0.312319	0.31101	0.363043	0.269565	-2.36593	6.65888	2.38324	1.95448	0.841286	3.6567	3.877	9.73954	13.146	12.6009	0.336957	0	0	0	0	0	0	0	0	0	2.90072	15.2119	7.52583	6.35659	8.17561	11.0255	13.258	20.4857	22.5911	22.0578	15.6957	5.32609	22.2826	26.2283	17.8696	12.913	6.3913	0.413043	0	0	0	0	0	0	0	0	0	0	0	0
10	1	0.207937	1.09293	0.35978	0.218035	0.459271	1.2919	2.02186	1.98297	3.12978	1.43296	5.48626	2.2938	5.6972	2.7079	3.56606	1.60303	2.31975	3.96722	2.42631	4.46745	38.9674	99.5026	45.1718	38.585	61.0456	128.991	173.124	157.706	225.539	123.031	0.618513	0.447405	0.461957	0.477209	0.537856	0.299088	0.468841	0.602735	0.353261	0.534058	-3.61672	9.50106	2.84671	-3.79137	0.834166	1.18941	5.48959	7.90857	11.4181	10.4105	0.586957	0	0	0	0	0	0	0	0	0	1.49664	17.2969	8.61084	0.747955	6.55123	9.91042	15.0278	15.5292	20.1811	18.9004	21.9348	2.1087	19.3478	17.3043	25.337	16.4565	4.96739	3.90217	0.076087	0.652174	0	0	0	0	0	0	0	0	0	0
11	1	0.252084	0.74976	0.275329	0.192044	0.362456	0.677605	1.49101	2.27168	2.17848	1.36278	2.50806	1.7953	3.70793	5.11358	3.14997	3.22109	4.13351	3.04192	5.21562	6.6592	41.6582	83.5083	37.0477	29.7275	58.1577	81.2675	141.955	172.531	165.753	127.262	0.419705	0.170407	0.399275	0.602384	0.647127	0.542777	0.603261	0.478261	0.666304	0.533696	-0.492281	8.9559	2.60416	-0.961129	-3.32044	2.42587	4.26394	9.64983	10.3984	9.60918	0	0	0	0	0	0	0	0	0	0	4.98872	16.5855	7.64056	2.92637	3.17947	9.17918	12.2288	18.0942	18.2432	17.7659	24.0217	0.836957	17.5978	23.1522	17.5326	15.6739	10.2174	1.18478	2.81522	0.304348	0	0	0	0	0	0	0	0	0	0
12	1	0.239756	1.01518	0.458383	0.189637	0.351434	0.675418	1.28462	2.41649	3.05499	1.51988	3.3094	0.155624	4.66573	2.68523	8.60491	4.30949	6.13125	2.47777	3.59897	2.57952	33.0344	101.022	47.7866	39.5654	41.8396	89.5439	123.969	189.044	213.357	137.445	0.466339	0.0508415	0.506159	0.321879	0.853649	0.551543	0.732971	0.393057	0.586957	0.455435	-0.559206	7.16953	2.17882	-5.53539	-0.330676	-1.22625	2.52881	8.17832	13.8187	11.4282	0	0	0	0	0	0	0	0	0	0	5.10462	15.6209	9.11313	-0.561921	4.47656	5.44274	10.0366	16.5455	22.0381	20.1164	22.7717	2.33696	13.1087	13.3804	22.8587	21.3261	15.2283	1.82609	0.0326087	0	0	0	0	0	0	0	0	0	0	0
14	1	0.24349	1.00249	0.282212	0.286828	0.515084	1.1015	1.39864	1.92491	2.74344	2.05462	1.73511	1.13893	4.50103	0.868386	4.08739	2.04978	2.89949	1.83309	4.18528	1.64377	43.799	106.819	44.5273	43.9818	51.1025	119.009	127.41	158.859	204.286	181.293	0.376928	0.183029	0.543116	0.256311	0.366567	0.45582	0.42029	0.508415	0.543841	0.159783	-1.15981	6.26089	0.33194	-0.756048	2.3364	2.3402	3.6911	7.75873	10.2557	9.12392	0	0	0	0	0	0	0	0	0	0	4.3837	15.6505	4.93155	3.89743	7.85183	11.5537	11.2539	15.8067	18.7339	18.9274	23.1848	3.3913	23.1739	23.9783	22.6848	13.4348	11.8261	3.06522	0.445652	0.173913	0	0	0	0	0	0	0	0	0	0
16	1	0.363523	0.731443	0.461628	0.315192	0.527925	0.853216	1.96126	2.2286	2.98099	2.04161	2.28215	2.49818	3.50116	2.40882	3.72843	2.18917	1.162	3.42553	3.75096	2.95169	40.9813	84.9232	64.7869	34.5439	56.8325	92.1274	180.978	181.377	216.797	165.065	0.396213	0.348177	0.294565	0.326087	0.600155	0.464937	0.276449	0.512272	0.478261	0.221377	1.76736	4.75277	1.36957	-1.53062	1.53401	3.99292	3.86897	7.79779	10.8182	10.9478	0	0	0	0	0	0	0	0	0	0	7.49851	12.3492	8.49623	3.52031	6.56576	10.8001	13.8417	16.1293	19.4324	21.256	23.0109	7.77174	15.163	21.2609	23.2609	11.7065	6.1087	3.92391	0.5	0.26087	0	0	0	0	0	0	0	0	0	0
18	1	0.250981	0.829078	0.308793	0.272607	0.504101	1.28165	2.19593	2.99226	4.81242	1.46482	1.75364	1.43939	5.88465	2.33978	3.34243	0.870581	1.07563	1.34564	0.22749	6.18491	46.2754	90.3223	48.9464	42.4454	72.5864	150.016	199.747	227.858	301.115	122.893	0.396914	0.26648	0.60942	0.252805	0.341079	0.156381	0.399638	0.236325	0.0876812	0.414493	-1.75961	5.01119	2.65322	-1.63396	0.418721	-0.481201	3.26118	9.22915	13.7611	12.5234	0	0	0	0	0	0	0	0	0	0	3.23526	11.9683	7.83255	2.42819	6.27952	9.44537	13.3597	19.0948	25.7285	19.4044	25.1848	9.44565	21	22.5652	20.1739	16.2935	8.19565	0.380435	0.0869565	0.0326087	0	0	0	0	0	0	0	0	0	0
26	1	0.310902	0.775195	0.306603	0.344744	0.461597	1.07945	2.38744	1.60366	3.30179	1.76611	5.62598	3.05963	3.16601	2.79531	3.8609	2.79322	1.31326	4.67806	2.55857	4.17807	35.7133	91.6923	60.2087	48.3235	75.9681	127.342	202.66	139.892	233.637	144.765	0.734923	0.396914	0.232971	0.313815	0.481259	0.396213	0.176087	0.744039	0.436957	0.372464	-0.0370211	6.55949	1.91518	-0.82955	-1.36425	-0.484704	3.19077	6.61817	11.1264	10.925	0	0	0	0	0	0	0	0	0	0	4.47555	13.7376	8.31594	5.34377	4.18812	7.9237	13.7793	13.4715	20.5168	20.1341	27.9348	6.97826	14.5652	21.6304	25.0761	17.5978	8.53261	4.31522	0.228261	0.434783	0	0	0	0	0	0	0	0	0	0
28	1	0.245315	1.20235	0.318534	0.428	0.333178	0.927815	0.916623	2.48756	3.59842	2.50477	5.94424	0.174801	2.5804	2.55092	2.49957	2.58218	6.63796	3.30698	2.0353	0.560331	31.5415	115.474	42.8173	37.5994	62.4555	104.151	87.5121	182.714	238.435	193.641	0.806101	0.0827489	0.388768	0.331697	0.317935	0.447055	0.847826	0.539271	0.39058	0.128986	-1.12946	6.22953	-1.06377	1.38541	-4.64116	0.846481	3.6145	10.5422	12.5943	10.4336	0	0	0	0	0.75	0	0	0	0	0	3.76332	15.9027	4.52932	5.98395	0.233584	8.59849	9.74021	19.5885	22.408	23.2454	25.5217	4.56522	11.2935	19.5217	15.1304	21.1522	15.3152	0.304348	0.695652	0	0	0	0	0	0	0	0	0	0	0
