"year_harvest"	"NUMD"	"ETP_1"	"ETP_10"	"ETP_11"	"ETP_12"	"ETP_2"	"ETP_3"	"ETP_4"	"ETP_5"	"ETP_6"	"ETP_9"	"PR_1"	"PR_10"	"PR_11"	"PR_12"	"PR_2"	"PR_3"	"PR_4"	"PR_5"	"PR_6"	"PR_9"	"RV_1"	"RV_10"	"RV_11"	"RV_12"	"RV_2"	"RV_3"	"RV_4"	"RV_5"	"RV_6"	"RV_9"	"SeqPR_1"	"SeqPR_10"	"SeqPR_11"	"SeqPR_12"	"SeqPR_2"	"SeqPR_3"	"SeqPR_4"	"SeqPR_5"	"SeqPR_6"	"SeqPR_9"	"Tn_1"	"Tn_10"	"Tn_11"	"Tn_12"	"Tn_2"	"Tn_3"	"Tn_4"	"Tn_5"	"Tn_6"	"Tn_9"	"Tn17.2_1"	"Tn17.2_10"	"Tn17.2_11"	"Tn17.2_12"	"Tn17.2_2"	"Tn17.2_3"	"Tn17.2_4"	"Tn17.2_5"	"Tn17.2_6"	"Tn17.2_9"	"Tx_1"	"Tx_10"	"Tx_11"	"Tx_12"	"Tx_2"	"Tx_3"	"Tx_4"	"Tx_5"	"Tx_6"	"Tx_9"	"Tx010_1"	"Tx010_10"	"Tx010_11"	"Tx010_12"	"Tx010_2"	"Tx010_3"	"Tx010_4"	"Tx010_5"	"Tx010_6"	"Tx010_9"	"Tx34_1"	"Tx34_10"	"Tx34_11"	"Tx34_12"	"Tx34_2"	"Tx34_3"	"Tx34_4"	"Tx34_5"	"Tx34_6"	"Tx34_9"	"Class"
"3"	3	1	0.225639	0.610201	0.37421	0.232291	0.573471	1.41632	1.55965	2.5164	3.24141	1.3229	3.48751	6.83584	5.57488	3.52503	3.15531	1.2774	3.8814	1.79057	2.33787	7.67631	32.9697	58.1802	41.1241	28.5273	73.4175	166.09	137.571	204.488	225.688	123.731	0.627279	0.75	0.798551	0.463534	0.427407	0.137097	0.567391	0.373773	0.510145	0.571377	-0.388616	7.17322	3.92508	-0.881014	2.69202	1.16167	7.85662	7.57757	12.7788	9.08623	0	0	0	0	0	0	0	0	0	0	3.87934	13.2817	9.60495	2.48287	10.0427	12.1809	16.3347	16.2052	21.4233	16.7304	26.7609	7.44565	17.2391	20.2935	13.6739	9.53261	1.65217	1.71739	0.434783	0.891304	0	0	0	0	0	0	0	0	0	0	1
"4"	4	1	0.376123	0.697921	0.327242	0.305836	0.402265	0.989877	1.85831	2.02216	3.92564	2.10262	3.7215	5.278	3.08385	4.94999	3.4689	5.05512	3.17776	3.04124	1.35275	0.64252	44.6328	74.4428	43.7578	36.8317	73.7346	117.808	168.202	168.662	277.445	156.286	0.510168	0.454769	0.449275	0.446003	0.390528	0.458275	0.474638	0.5277	0.167391	0.13587	0.619777	7.94938	1.66437	0.717988	-2.75422	-1.29949	3.7421	7.24426	10.7943	13.7639	0	0	0	0	0	0	0	0	0	0	5.53765	14.8353	7.00705	5.65397	3.68101	6.58445	12.8914	15.7882	20.8746	24.6548	26.6739	3.31522	22.0978	14.913	23.6739	22.1413	8.83696	3.07609	0.271739	0	0	0	0	0	0	0	0	0	0	0	0
"5"	5	1	0.201415	0.790845	0.269794	0.225611	0.349833	0.92007	1.32144	2.47706	2.42592	1.93872	2.16936	1.54692	1.69223	5.37527	3.63244	4.63769	3.69405	2.26305	6.25565	3.13857	52.4708	92.6481	46.8181	34.5707	75.2086	102.684	125.133	199.03	180.159	158.2	0.468794	0.15533	0.405435	0.562412	0.499612	0.601683	0.401449	0.360449	0.692391	0.286594	-7.75187	6.65544	-0.0753327	-4.58222	-5.70301	1.60362	5.56457	7.40275	12.5736	10.2938	3.51087	0	0	0.0869565	1.95652	0	0	0	0	0	-2.12281	13.7097	5.99779	0.461532	0.232842	9.23221	13.4903	16.2551	20.0708	19.7318	10.7065	9.08696	17.8152	17.1304	17.587	17.7826	5.54348	3.20652	0.163043	0.891304	0	0	0	0	0	0	0	0	0	0	1
"6"	6	1	0.235087	0.769788	0.518969	0.206574	0.444469	0.510438	1.73645	2.41834	3.51096	1.29623	1.24272	1.31029	7.7359	0.347997	1.51259	5.31356	2.84759	2.15236	2.29069	2.21285	50.7146	92.8972	43.2366	46.2284	72.1086	67.1326	148.749	187.654	231.976	121.204	0.196704	0.22195	0.719203	0.149369	0.30922	0.553647	0.466667	0.441445	0.428623	0.358696	-3.06212	6.18207	5.86672	-4.10002	0.103191	1.75535	5.66051	10.0158	12.9838	10.6806	0	0	0	0	0	0	0	0	0	0	0.187899	13.7963	11.3781	0.716137	6.83421	7.261	14.1535	18.9244	22.2869	18.5353	16.413	5.15217	9.86957	18.3043	20.413	20.8043	5.81522	0.358696	0	0.445652	0	0	0	0	0	0	0	0	0	0	1
"7"	7	1	0.295047	0.595156	0.306547	0.293618	0.529465	1.08925	1.29556	2.28783	2.98314	1.94824	3.57253	3.61731	1.19549	1.61165	0.947273	4.99835	3.85682	4.26453	1.81063	2.3276	33.9143	74.2033	42.1101	36.57	97.1586	115.375	125.716	181.362	200.875	153.33	0.678121	0.526999	0.409783	0.409537	0.236801	0.500701	0.70942	0.48913	0.457609	0.334783	-0.838395	5.18704	3.57898	-1.0819	-5.4716	1.47802	3.80686	8.18298	12.984	11.5632	0	0	0	0	0	0	0	0	0	0	4.00556	11.4351	7.01651	3.27314	1.58452	9.44506	11.326	16.5768	21.1366	20.6706	22.8913	14.9348	24.5435	21.5	18.6848	13.2065	11.5435	2.11957	1.02174	0.119565	0	0	0	0	0	0	0	0	0	0	0
"8"	8	1	0.338398	0.875052	0.349602	0.254071	0.620546	1.08679	1.57893	2.71805	3.25668	1.27767	3.78724	1.63486	5.96916	7.69144	5.02472	2.59011	3.60077	3.27688	2.05336	9.13905	42.9648	101.822	34.3097	25.9474	49.1583	128.018	130.498	208.692	227.368	109.181	0.427419	0.186536	0.831159	0.820477	0.64441	0.417602	0.664855	0.362553	0.448551	0.667391	-2.68931	7.77458	2.87552	1.45314	4.02458	-0.405708	6.7003	9.05223	12.8358	9.2415	1.3913	0	0	0	0	0	0	0	0	0	2.43056	15.9397	8.30406	6.02714	9.8398	8.61226	14.6293	17.5938	21.8847	17.0162	18.6304	0.967391	18.1087	26.9565	13.8478	16.75	2.95652	1.72826	0.0434783	1.17391	0	0	0	0	0	0	0	0	0	0	1
"9"	9	1	0.308592	0.729919	0.258628	0.187565	0.559267	1.09956	1.91382	2.12138	3.38155	2.02976	2.64755	5.07633	4.60845	5.93986	3.58807	3.51701	0.948839	5.14936	1.94505	1.83567	47.5809	66.5282	35.4626	28.051	74.9035	110.095	172.553	164.566	236.596	160.411	0.389902	0.608345	0.589493	0.738079	0.352484	0.626578	0.240942	0.580645	0.231884	0.201812	-1.82137	9.63737	0.108199	0.091335	0.390626	2.81555	2.652	8.43302	10.5619	11.1292	0.413043	0	0	0	0	0	0	0	0	0	3.446	16.12	5.38651	3.98951	7.10681	10.5746	12.9472	17.091	19.809	21.4476	17.4022	4.77174	21.5109	24.8913	20.75	12.2391	7.36957	2.28261	0.554348	0.141304	0	0	0	0	0	0	0	0	0	0	0
"13"	13	1	0.331449	0.690991	0.484537	0.201712	0.570094	0.86166	1.95622	2.0996	2.67491	2.14487	2.7648	5.68165	4.87807	2.18152	1.36111	3.80001	3.23339	2.64045	5.56176	1.94872	43.9199	77.7723	55.2823	35.8486	86.2156	119.853	180.033	165.562	202.151	169.09	0.339762	0.403576	0.475	0.406031	0.231366	0.345021	0.256522	0.378682	0.611957	0.18913	-3.14903	5.87444	3.27047	-2.82593	-1.98813	-3.16596	5.58915	10.4059	11.1132	10.2743	2.76087	0	0	0	0	0.467391	0	0	0	0	2.80676	12.7288	11.1163	1.43519	5.02908	4.70337	16.6938	18.1923	18.905	21.0203	21.2717	8.02174	11.1304	15.8261	25.0761	20.3152	1.04348	2.30435	0.521739	0	0	0	0	0	0	0	0	0	0	0	0
"15"	15	1	0.249325	0.919307	0.382005	0.286056	0.461872	1.25431	1.44867	2.43731	3.08651	1.52679	2.29859	2.62314	4.61184	2.688	2.70551	0.350818	3.03004	2.61382	2.60411	1.15782	43.5336	109.856	47.4867	45.6106	73.6124	139.232	134.35	183.84	220.485	151.513	0.392707	0.264726	0.537681	0.228611	0.39868	0.0925666	0.446377	0.586606	0.357609	0.22029	-2.07458	5.01837	3.21546	-1.00816	-2.02073	-0.894253	1.53437	10.0418	12.5382	6.28213	0	0	0	0	0	0	0	0	0	0	1.85473	14.0392	10.0811	4.16014	3.3323	9.20995	10.446	18.4542	21.1539	16.1604	20.1522	5.59783	13.3804	20.6413	23.7609	18.3804	12.8478	1.68478	0.206522	1.82609	0	0	0	0	0	0	0	0	0	0	0
"17"	17	1	0.573731	0.398197	0.566618	0.295222	0.733059	0.681488	1.89047	2.08391	2.90316	1.55377	4.50211	6.44138	5.78375	3.01016	0.678984	3.97567	2.65499	3.35959	3.30315	6.00669	42.0758	66.0855	42.0258	42.3434	109.496	85.7085	159.122	166.263	214.107	130.392	0.514025	0.860098	0.633696	0.559958	0.180124	0.601332	0.326087	0.522791	0.582971	0.641304	2.5064	2.55089	3.33576	1.85967	-0.512397	1.08942	3.80914	8.17141	11.0253	10.0171	0	0	0	0	0	0	0	0	0	0	6.97144	7.86744	8.37889	6.73432	7.57337	7.26135	12.8498	15.9616	18.9843	18.1197	22.9565	22.1304	19.8152	23.2174	20.2609	24.1196	11.5109	4.56522	0.902174	2.06522	0	0	0	0	0	0	0	0	0	0	0
